Country Name,Age Group,Gender,Year,Population
Ethiopia,55-59,male,2017,"1,230,468"
Ethiopia,55-59,male,2018,"1,252,446"
Ethiopia,55-59,male,2019,"1,280,220"
Ethiopia,60-64,female,1990,"423,251"
Ethiopia,60-64,female,2000,"574,745"
Ethiopia,60-64,female,2011,"859,103"
Ethiopia,60-64,female,2012,"868,612"
Ethiopia,60-64,female,2013,"877,394"
Ethiopia,60-64,female,2014,"892,494"
Ethiopia,60-64,female,2015,"917,672"
Ethiopia,60-64,female,2016,"946,550"
Ethiopia,60-64,female,2017,"985,914"
Ethiopia,60-64,female,2018,"1,030,730"
Ethiopia,60-64,female,2019,"1,073,385"
Ethiopia,60-64,male,1990,"421,010"
Ethiopia,60-64,male,2000,"571,526"
Ethiopia,60-64,male,2011,"856,057"
Ethiopia,60-64,male,2012,"866,244"
Ethiopia,60-64,male,2013,"875,770"
Ethiopia,60-64,male,2014,"891,568"
Ethiopia,60-64,male,2015,"917,339"
Ethiopia,60-64,male,2016,"946,701"
Ethiopia,60-64,male,2017,"986,461"
Ethiopia,60-64,male,2018,"1,031,601"
Ethiopia,60-64,male,2019,"1,074,521"
Ethiopia,65-69,female,1990,"340,344"
Ethiopia,65-69,female,2000,"456,083"
Ethiopia,65-69,female,2011,"647,458"
Ethiopia,65-69,female,2012,"678,008"
Ethiopia,65-69,female,2013,"709,522"
Ethiopia,65-69,female,2014,"738,279"
Ethiopia,65-69,female,2015,"762,273"
Ethiopia,65-69,female,2016,"775,170"
Ethiopia,65-69,female,2017,"783,841"
Ethiopia,65-69,female,2018,"792,611"
Ethiopia,65-69,female,2019,"807,742"
Ethiopia,65-69,male,1990,"338,542"
Ethiopia,65-69,male,2000,"453,529"
Ethiopia,65-69,male,2011,"645,163"
Ethiopia,65-69,male,2012,"676,160"
Ethiopia,65-69,male,2013,"708,209"
Ethiopia,65-69,male,2014,"737,513"
Ethiopia,65-69,male,2015,"761,997"
Ethiopia,65-69,male,2016,"775,294"
Ethiopia,65-69,male,2017,"784,276"
Ethiopia,65-69,male,2018,"793,281"
Ethiopia,65-69,male,2019,"808,597"
Ethiopia,70-74,female,1990,"213,525"
Ethiopia,70-74,female,2000,"289,299"
Ethiopia,70-74,female,2011,"433,969"
Ethiopia,70-74,female,2012,"452,336"
Ethiopia,70-74,female,2013,"473,597"
Ethiopia,70-74,female,2014,"497,658"
Ethiopia,70-74,female,2015,"524,392"
Ethiopia,70-74,female,2016,"547,752"
Ethiopia,70-74,female,2017,"574,388"
Ethiopia,70-74,female,2018,"602,063"
Ethiopia,70-74,female,2019,"627,334"
Ethiopia,70-74,male,1990,"212,395"
Ethiopia,70-74,male,2000,"287,679"
Ethiopia,70-74,male,2011,"432,430"
Ethiopia,70-74,male,2012,"451,103"
Ethiopia,70-74,male,2013,"472,721"
Ethiopia,70-74,male,2014,"497,142"
Ethiopia,70-74,male,2015,"524,202"
Ethiopia,70-74,male,2016,"547,839"
Ethiopia,70-74,male,2017,"574,706"
Ethiopia,70-74,male,2018,"602,571"
Ethiopia,70-74,male,2019,"627,998"
Ethiopia,75-79,female,1990,"130,975"
Ethiopia,75-79,female,2000,"184,819"
Ethiopia,75-79,female,2011,"281,768"
Ethiopia,75-79,female,2012,"287,612"
Ethiopia,75-79,female,2013,"294,360"
Ethiopia,75-79,female,2014,"303,897"
Ethiopia,75-79,female,2015,"317,099"
Ethiopia,75-79,female,2016,"330,010"
Ethiopia,75-79,female,2017,"344,597"
Ethiopia,75-79,female,2018,"361,077"
Ethiopia,75-79,female,2019,"379,721"
Ethiopia,75-79,male,1990,"130,282"
Ethiopia,75-79,male,2000,"183,784"
Ethiopia,75-79,male,2011,"280,769"
Ethiopia,75-79,male,2012,"286,828"
Ethiopia,75-79,male,2013,"293,815"
Ethiopia,75-79,male,2014,"303,582"
Ethiopia,75-79,male,2015,"316,984"
Ethiopia,75-79,male,2016,"330,063"
Ethiopia,75-79,male,2017,"344,789"
Ethiopia,75-79,male,2018,"361,383"
Ethiopia,75-79,male,2019,"380,123"
Ethiopia,80 and above,female,1990,"81,714"
Ethiopia,80 and above,female,2000,"118,059"
Ethiopia,80 and above,female,2011,"219,638"
Ethiopia,80 and above,female,2012,"234,019"
Ethiopia,80 and above,female,2013,"245,906"
Ethiopia,80 and above,female,2014,"254,650"
Ethiopia,80 and above,female,2015,"260,194"
Ethiopia,80 and above,female,2016,"276,034"
Ethiopia,80 and above,female,2017,"288,913"
Ethiopia,80 and above,female,2018,"299,127"
Ethiopia,80 and above,female,2019,"307,281"
Ethiopia,80 and above,male,1990,"81,281"
Ethiopia,80 and above,male,2000,"117,398"
Ethiopia,80 and above,male,2011,"218,859"
Ethiopia,80 and above,male,2012,"233,381"
Ethiopia,80 and above,male,2013,"245,451"
Ethiopia,80 and above,male,2014,"254,386"
Ethiopia,80 and above,male,2015,"260,100"
Ethiopia,80 and above,male,2016,"276,078"
Ethiopia,80 and above,male,2017,"289,074"
Ethiopia,80 and above,male,2018,"299,380"
Ethiopia,80 and above,male,2019,"307,606"
